ID1,ID2
0,305
1,1362
2,420
3,492
4,423
5,1385
6,318
7,1383
8,1385
9,1383
10,98
11,1383
12,326
13,186
14,105
15,423
16,654
17,1385
18,76
19,507
20,270
21,213
22,1385
23,1047
24,677
25,1383
26,1047
27,1362
28,30
29,423
30,28
31,1047
32,23
33,1047
34,115
35,1383
36,1383
37,1383
38,56
39,1385
40,158
41,70
42,97
43,601
44,223
45,492
46,677
47,60
48,1094
49,314
50,181
51,230
52,1094
53,1385
54,49
55,524
56,423
57,1385
58,423
59,423
60,237
61,482
62,123
63,219
64,677
65,100
66,423
67,210
68,238
69,423
70,619
71,1385
72,1383
73,200
74,677
75,134
76,1094
77,323
78,423
79,479
80,81
81,709
82,1385
83,601
84,423
85,183
86,147
87,492
88,423
89,420
90,1094
91,479
92,654
93,1362
94,323
95,601
96,238
97,153
98,338
99,1383
100,654
101,423
102,327
103,1383
104,601
105,423WithASibling
106,610
107,168
108,251
109,355
110,251
111,507
112,1383
113,423
114,285
115,482
116,181
117,1385
118,1385
119,1383
120,337
121,1362
122,423
123,239
124,1383
125,423
126,206
127,654
128,601
129,1383
130,601
131,1385
132,1383
133,169
134,248
135,1383
136,1383
137,231
138,904
139,654
140,323
141,423
142,1383
143,1385
144,170
145,180
146,162
147,1385
148,1385
149,1047
150,207
151,400
152,677
153,378
154,208
155,323
156,423
157,601
158,1094
159,226
160,601
161,323
162,309
163,194
164,257
165,482
166,1383
167,194
168,323
169,236
170,190
171,1383
172,239
173,1385
174,304
175,601
176,206
177,423
178,423
179,1362
180,302
181,543
182,601
183,395
184,654
185,1385
186,1383
187,423
188,239
189,259
190,203
191,654
192,423
193,1047
194,654
195,601
196,1385
197,423
198,601
199,601
200,1385
201,601
202,201
203,904
204,677
205,677
206,276
207,287
208,276
209,747
210,677
211,423
212,312
213,304
214,423
215,481
216,267
217,229
218,423
219,1383
220,234
221,235
222,423
223,474
224,677
225,395
226,1383
227,317
228,492
229,302
230,1385
231,601
232,423
233,526
234,409
235,1383
236,260
237,904
238,423
239,232
240,341
241,323
242,1383
243,1383
244,758
245,601
246,423
247,904
248,1383
249,601
250,279
251,482
252,601
253,1383
254,601
255,482
256,1362
257,455
258,1385
259,1385
260,1385
261,601
262,327
263,1383
264,341
265,307
266,1094
267,1013
268,423
269,375
270,352
271,323
272,1383
273,395
274,601
275,507
276,654
277,323
278,904
279,1211
280,654
281,456
282,423
283,601
284,904
285,423
286,709
287,446
288,290
289,507
290,423
291,1385
292,382
293,323
294,1383
295,944
296,609
297,507
298,1385
299,524
300,366
301,677
302,1385
303,624
304,1047
305,1385
306,1385
307,460
308,637
309,492
310,613
311,501
312,654
313,601
314,1383
315,1047
316,601
317,654
318,338
319,1385
320,420
321,319
322,423
323,654
324,507
325,796
326,1385
327,1385
328,354
329,352
330,601
331,677
332,482
333,425
334,507
335,1385
336,354
337,677
338,525
339,677
340,654
341,370
342,437
343,492
344,810
345,1383
346,645
347,393
348,654
349,365
350,423
351,526
352,427
353,423
354,1385
355,1385
356,376
357,601
358,1047
359,1383
360,1383
361,507
362,654
363,433
364,711
365,601
366,1383
367,677
368,1385
369,446
370,1385
371,1047
372,1385
373,1383
374,1385
375,601
376,904
377,677
378,1385
379,1383
380,1383
381,496
382,477
383,654
384,733
385,490
386,1385
387,677
388,1385
389,601
390,613
391,1383
392,654
393,645
394,482
395,477
396,1385
397,601
398,869
399,423
400,1383
401,423
402,645
403,429
404,475
405,426
406,423
407,421
408,1383
409,492
410,654
411,423
412,1383
413,1094
414,443
415,1383
416,565
417,423
418,432
419,1383
420,1433
421,423
422,441
423,1422
424,747
425,1385
426,702
427,1385
428,426
429,904
430,587
431,677
432,552
433,1385
434,677
435,698
436,1383
437,813
438,496
439,904
440,601
441,929
442,546
443,507
444,1385
445,1387
446,511
447,508
448,507
449,897
450,469
451,1387
452,1387
453,904
454,487
455,1385
456,904
457,652
458,1385
459,1385
460,487
461,1385
462,1383
463,493
464,1387
465,1047
466,601
467,1387
468,1387
469,507
470,1387
471,1387
472,1385
473,507
474,654
475,654
476,1383
477,493
478,480
479,1383
480,497
481,1288
482,1422
483,677
484,1387
485,807
486,643
487,811
488,1385
489,1362
490,654
491,1383
492,1422
493,684
494,1387
495,719
496,1383
497,654
498,601
499,810
500,1385
501,654
502,1385
503,1387
504,1364
505,1288
506,540
507,1422
508,1385
509,1383
510,542
511,1383
512,1047
513,896
514,1383
515,1385
516,520
517,839
518,560
519,1305
520,626
521,1388
522,543
523,909
524,1383
525,738
526,587
527,601
528,1385
529,1383
530,1387
531,1385
532,904
533,529
534,1288
535,1047
536,591
537,1388
538,654
539,1434
540,1383
541,1364
542,1383
543,598
544,1385
545,716
546,638
547,654
548,1385
549,601
550,825
551,1387
552,1383
553,601
554,1385
555,1387
556,677
557,759
558,1385
559,1385
560,601
561,810
562,1385
563,1362
564,1047
565,894
566,1388
567,1387
568,1385
569,1385
570,696
571,984
572,599
573,668
574,654
575,1383
576,1385
577,1364
578,1385
579,1385
580,1383
581,784
582,723
583,1047
584,1288
585,600
586,1385
587,894
588,1094
589,1362
590,706
591,1396
592,1364
593,1288
594,1396
595,1383
596,600
597,1387
598,704
599,1387
600,1388
601,1422
602,1383
603,1387
604,651
605,750
606,719
607,1387
608,1385
609,1233
610,722
611,1233
612,1233
613,677
614,706
615,1383
616,1094
617,1385
618,1383
619,1385
620,1383
621,1178
622,1385
623,1385
624,1387
625,1388
626,654
627,1396
628,1387
629,677
630,1233
631,1362
632,654
633,1387
634,703
635,1383
636,904
637,1383
638,1435
639,893
640,1233
641,1385
642,1027
643,1387
644,1387
645,1162
646,786
647,1396
